nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg mobil,5,1,-6.2278879,106.8123761,"kantor lurah, jl. widya chandra viii, rt.4/rw.1, senayan, kota jakarta selatan",ChIJh5_xzFfxaS4RJeqtScVoMu4,0
warteg mataram,0,0,-6.232546,106.805131,"jl. mataram raya, rt.7/rw.2, selong, kota jakarta selatan",ChIJQ9284VTxaS4RafeQIifyfxs,0
warteg sederhana,5,1,-6.2290871,106.7789612,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJK7bBfkvxaS4RSj8BA7bN760,0
warteg putrabahari,4.4,111,-6.229489999999999,106.7767754,"jl. cidodol raya, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJy6ta_CXxaS4RfydUlbQcTPk,0
warteg berkah merintis tanpa batas,4.4,11,-6.225582999999999,106.7798811,"jl. limo no.10, rt.1/rw.10, grogol sel., kota jakarta selatan",ChIJcRWrjC7xaS4RmkS4xghmzsU,0
warteg gandasari,4.4,18,-6.2257807,106.7809555,"jl. limo no.22, rt.1/rw.2, grogol utara, kota jakarta selatan",ChIJIakoSC7xaS4R6oSAffpFsA0,0
warteg putrabahari,4.3,10,-6.2255729,106.7746448,"jl. assirot no.10, rt.5/rw.1, grogol sel., kota jakarta selatan",ChIJswjlEynxaS4R0HuT1w1sB2k,0
warteg hello bahari,4.8,11,-6.225492999999999,106.7764421,"jl assirot no.12 rt006/01, rt.6/rw.1, grogol sel., kota jakarta selatan",ChIJDWlSt_fxaS4R0pO5s-a8zrs,0
warteg najwa/awa,5,1,-6.225598,106.7751535,"jl. assirot, rt.12/rw.1, grogol sel., kota jakarta selatan",ChIJ61ngPSnxaS4RPiAn6VizTQ0,0
warteg karomah,4,2,-6.2264327,106.7839039,"jl. rawa simprug i no.8, rt.3/rw.5, grogol sel., kota jakarta selatan",ChIJ-6EkPzDxaS4RwouYHojimvY,0
warteg putra pertama,3.5,2,-6.2285074,106.7844666,"rt 001 rw 009 # 5 kebayoran lama, jl. rawa simprug iii, rt.2/rw.5, grogol sel., dki jakarta",ChIJ45graDDxaS4R8I_wY7GX_yQ,0
warteg sari mukti,0,0,-6.2256072,106.7738827,"jl. assirot no.5, rt.10/rw.3, grogol sel., kota jakarta selatan",ChIJE4SFDCnxaS4RbSE-vPZj2P4,0
warteg kowantara jaksel,4.8,21,-6.2299117,106.7789302,"jl. kebayoran lama raya rt 04/10 no 26 kebayoran lama jakarta selatan, rt.3/rw.11, grogol sel., kota jakarta selatan",ChIJpfYsmiXxaS4RDQajfPs9du4,0
warteg bahari,3.4,5,-6.230443999999999,106.785361,"jl. rawa simprug ix b no.7, rt.6/rw.9, grogol sel., kota jakarta selatan",ChIJPyls_jrxaS4RmyaV7fGd8Cw,0
warteg 09,0,0,-6.229817499999999,106.7797899,"jl. raya kby. lama no.18cd, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJr0jAdiXxaS4R7QICv73mH0o,0
warteg aneka pepea,0,0,-6.225209,106.7745769,"jl. assirot no.5, rt.5/rw.1, grogol sel., kota jakarta selatan",ChIJa4Qi-d_xaS4RRVRPQCo_tbY,0
warteg bahari,0,0,-6.2357124,106.7726734,"jl. cipulir i no.28, rt.7/rw.4, cipulir, kota jakarta selatan",ChIJ06pU6CDxaS4RjOgnbiOnuoE,0
warteg papa mewek,4.7,7,-6.2290866,106.7789608,"jl. raya kby. lama no.19, rt.4/rw.10, grogol sel., kota jakarta selatan",ChIJuyherAnxaS4R2jnK4dzWD_g,0
warteg barokah limo,5,2,-6.2262129,106.785473,"jl. limo no.8, rt.3/rw.9, grogol sel., kota jakarta selatan",ChIJjQjlJvnxaS4RDVurz_jmooY,0
warteg budhe,0,0,-6.2355171,106.7830314,"jl. jiban, rt.8/rw.1, grogol sel., kota jakarta selatan",ChIJO2PQyDzxaS4RLAyuJKAVU1c,0
warteg warung makan tegal,0,0,-6.2354414,106.7735374,"jl. cipulir i no.1, rt.4/rw.8, cipulir, kota jakarta selatan",ChIJwZaXnnzxaS4RzXUkzE8x3Nw,0
warteg wahyu,3.5,2,-6.2342441,106.7783521,"jalan kebon mangga ii rt 004 rw 003 # 4, rt.1/rw.7, cipulir, kota jakarta selatan",ChIJm9NMdiTxaS4RDYbReO4ar5A,0
warteg tuk-mumbul,0,0,-6.2318231,106.7801545,"jl. raya kby. lama, rt.1/rw.11, grogol sel., kota jakarta selatan",ChIJ3xtf-yTxaS4RG8HGimhP9fQ,0
warteg piah yanto,5,1,-6.2346001,106.7755579,"jl. kangkung no.7, rt.13/rw.3, cipulir, kota jakarta selatan",ChIJ_ZFCR-bxaS4R_tkGxoGiWlQ,0
warteg kharisma bahari,4.4,53,-6.235531099999999,106.7735406,"jl. cipulir i no.1, rt.4/rw.8, cipulir, kota jakarta selatan",ChIJH8DRK6nxaS4R0TXrI4rKxPA,0
ajisaka warteg 2,0,0,-6.2302007,106.7795838,"jl. tepekong, rt.6/rw.11, grogol sel., kota jakarta selatan",ChIJK0D9sU_xaS4RwE5P_MDqmBY,0
